itemid,name,item_type,stack_size,flags,ah_category,base_sell,gm_only,no_auction,scroll,can_equip,no_sale,exclusive,rare,is_equipment,is_weapon,is_usable,is_furnishing,equipment_level,equipment_ilevel,equipment_su_level,vendor_item,craft_input,craft_nq_output,craft_hq_output,desynth_input,desynth_output,restricted_craft_input,restricted_nq_output,restricted_hq_output,craft_recipe_count,craft_min_skill,craft_max_skill,craft_content_tags,fishing,fishing_skill_level,fishing_rarity,fishing_legendary,fishing_required_keyitem,fishing_quest_only,fishing_contest,fishing_disabled,mob_drop,mob_drop_list_count,mob_group_count,mob_pool_count,mob_zone_count,mob_drop_types,mob_spawn_types,mob_respawn_min,mob_respawn_max,mob_item_rate_min,mob_item_rate_max,mob_group_rate_min,mob_group_rate_max,mob_content_tags,provenance_tags,provenance_confidence,provenance_known
54,chocobo_commode,3,1,28736,0,0,0,1,0,0,1,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
55,cabinet,3,1,36,34,3200,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,1,1,0,0,0,0,0,2,81.0,81.0,ROTZ|ROV,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT|NPC_VENDOR,HIGH,1
56,commode,3,1,36,34,4900,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,77.0,77.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
57,cupboard,3,1,24692,0,1965,0,1,0,0,0,1,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NPC_VENDOR,HIGH,1
59,chiffonier,3,1,36,34,4594,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,1,1,0,0,0,0,0,1,26.0,73.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT|NPC_VENDOR,HIGH,1
61,armoire,3,1,36,34,12750,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,49.0,90.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
76,royal_bookshelf,3,1,36,34,14625,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,10.0,98.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
77,bookshelf,3,1,36,34,14600,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,5.0,95.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
86,san_dorian_holiday_tree,3,1,32768,34,2015,0,0,0,0,0,0,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
87,kadomatsu,3,1,0,34,2015,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
88,timepiece,3,1,61504,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
89,wastebasket,3,1,24656,0,519,0,1,0,0,0,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
90,rusty_bucket,3,1,4,34,50,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,1,1.0,900.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,FISHING,HIGH,1
91,blue_pitcher,3,1,4,34,37,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
92,tarutaru_stool,3,1,36,34,246,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,1,1,0,0,0,0,0,2,25.0,25.0,SOA,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT|NPC_VENDOR,HIGH,1
93,water_cask,3,1,4,34,94,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NPC_VENDOR,HIGH,1
95,water_barrel,3,1,36,34,2500,0,0,0,0,0,0,0,0,0,0,1,,,,0,1,1,1,0,0,0,0,0,3,32.0,102.0,ABYSSEA|COP|ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_INPUT|CRAFT_NQ_OUTPUT,HIGH,1
96,beverage_barrel,3,1,36,34,50,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,32.0,67.0,COP,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
97,book_holder,3,1,36,34,204,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,31.0,31.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
98,scimitar_cactus,3,1,36,34,400,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,20.0,79.0,COP,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
99,elshimo_palm,3,1,36,34,400,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,83.0,83.0,COP,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
100,okadomatsu,3,1,0,34,200,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
102,flower_stand,3,1,36,34,97,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,44.0,44.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
103,goldfish_bowl,3,1,36896,34,0,0,0,0,0,1,0,1,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,4.0,10.0,COP,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
104,tarutaru_folding_screen,3,1,36,34,427,0,0,0,0,0,0,0,0,0,0,1,,,,1,1,1,1,0,0,0,0,0,5,7.0,72.0,ROTZ|WOTG,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_INPUT|CRAFT_NQ_OUTPUT|NPC_VENDOR,HIGH,1
105,sky_pot,3,1,24660,0,50,0,1,0,0,0,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
106,red_jar,3,1,24660,0,50,0,1,0,0,0,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
107,water_jug,3,1,4,34,50,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NPC_VENDOR,HIGH,1
109,urn,3,1,0,34,356,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
110,white_jar,3,1,4,34,1038,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NPC_VENDOR,HIGH,1
112,yellow_jar,3,1,4,34,124,0,0,0,0,0,0,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NPC_VENDOR,HIGH,1
113,cleaning_tool_set,3,1,4,34,50,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
114,my_first_magic_kit,3,1,24660,0,195,0,1,0,0,0,1,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NPC_VENDOR,HIGH,1
115,bastokan_holiday_tree,3,1,32768,34,2015,0,0,0,0,0,0,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
116,windurstian_holiday_tree,3,1,32768,34,2015,0,0,0,0,0,0,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
117,wing_egg,3,1,53312,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
118,lamp_egg,3,1,53312,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
119,flower_egg,3,1,53312,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
120,freshwater_aquarium,3,1,36,34,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,36.0,80.0,COP,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
121,saltwater_aquarium,3,1,36,34,3720,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,39.0,89.0,COP,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
122,amir_bed,3,1,36,34,2091,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,59.0,79.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
123,athenienne,3,1,36,34,1367,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,9.0,27.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
124,wardrobe,3,1,36,34,2418,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,58.0,98.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
125,reliquary,3,1,36,34,2000,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
126,falsiam_vase,3,1,36,34,1626,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,71.0,71.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
127,coffee_table,3,1,36,34,2514,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,44.0,95.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
128,console,3,1,36,34,1410,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,40.0,69.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
129,imperial_standard,3,1,61504,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
130,marble_bed,3,1,36,34,10000,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,55.0,86.0,COP,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
131,stationery_set,3,1,24656,0,50,0,1,0,0,0,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
132,tableware_set,3,1,4,34,2418,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
133,tea_set,3,1,4,34,2418,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
134,copy_of_emeralda,3,1,57408,0,0,0,1,0,0,0,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
135,magic_tome_set,3,1,0,34,16,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
136,set_of_kaiserin_cosmetics,3,1,24660,0,195,0,1,0,0,0,1,0,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NPC_VENDOR,HIGH,1
137,cordon_bleu_cooking_set,3,1,57408,0,0,0,1,0,0,0,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
138,jeunoan_tree,3,1,61520,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
139,star_globe,3,1,36,34,13430,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,23.0,96.0,ROTZ,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
140,dream_platter,3,1,61520,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
141,dream_coffer,3,1,61520,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
142,drogarogas_fang,3,1,57408,0,18915,0,1,0,0,0,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
143,ngoma,3,1,36,34,4260,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,60.0,76.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
144,caisson,3,1,36,34,607,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,30.0,38.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
145,thurible,3,1,36,34,1918,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,41.0,97.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
146,walahra_burner,3,1,36,34,14000,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,52.0,93.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
147,imperial_tapestry,3,1,36,34,3836,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,45.0,96.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
148,cartonnier,3,1,36,34,6800,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,35.0,96.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
149,set_of_alchemists_tools,3,1,36,34,11600,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,89.0,89.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
150,leather_pot,3,1,36,34,1209,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,1,1,0,0,0,0,0,1,43.0,92.0,TOAU,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,CRAFT_HQ_OUTPUT|CRAFT_NQ_OUTPUT,HIGH,1
151,stack_of_fools_gold,3,1,57408,0,0,0,1,0,0,0,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
152,flowerpot,3,1,32,34,50,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
153,mastersmith_anvil,3,1,57408,0,0,0,1,0,0,0,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
154,miniature_airship,3,1,57408,0,0,0,1,0,0,0,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
155,dream_stocking,3,1,61520,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
176,snowman_knight,3,1,61520,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,UNKNOWN,0
