itemid,name,market_class,classification_reason,base_sell_capable,base_buy_capable,review_required,current_seed_sell_allowed,current_seed_buy_allowed,legacy_market_class,vendor_item,provenance,provenance_known,rejection_reason
93,water_cask,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,,0,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
95,water_barrel,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_INPUT|CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
96,beverage_barrel,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
97,book_holder,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
98,scimitar_cactus,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
99,elshimo_palm,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
100,okadomatsu,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
102,flower_stand,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
103,goldfish_bowl,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE
104,tarutaru_folding_screen,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,CRAFT_INPUT|CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
105,sky_pot,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
106,red_jar,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
107,water_jug,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,,0,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
109,urn,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
110,white_jar,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,,0,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
112,yellow_jar,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,1,,0,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
113,cleaning_tool_set,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
114,my_first_magic_kit,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,1,,0,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
115,bastokan_holiday_tree,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
116,windurstian_holiday_tree,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
117,wing_egg,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
118,lamp_egg,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
119,flower_egg,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
120,freshwater_aquarium,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE
121,saltwater_aquarium,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
122,amir_bed,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
123,athenienne,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
124,wardrobe,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
125,reliquary,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
126,falsiam_vase,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
127,coffee_table,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
128,console,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
129,imperial_standard,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
130,marble_bed,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
131,stationery_set,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
132,tableware_set,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
133,tea_set,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
134,copy_of_emeralda,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
135,magic_tome_set,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
136,set_of_kaiserin_cosmetics,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,1,,0,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
137,cordon_bleu_cooking_set,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
138,jeunoan_tree,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
139,star_globe,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
140,dream_platter,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
141,dream_coffer,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
142,drogarogas_fang,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
143,ngoma,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
144,caisson,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
145,thurible,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
146,walahra_burner,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
147,imperial_tapestry,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
148,cartonnier,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
149,set_of_alchemists_tools,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
150,leather_pot,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,1,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
151,stack_of_fools_gold,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
152,flowerpot,PROTECTED,DEFAULT_DENY_PENDING_PROVENANCE_REVIEW,0,0,1,0,0,PROTECTED,0,,0,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
153,mastersmith_anvil,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
154,miniature_airship,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
155,dream_stocking,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
176,snowman_knight,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
177,snowman_miner,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
178,snowman_mage,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
179,jeweled_egg,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
180,bonbori,BLOCKED,HARD_BLOCK:NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
181,san_dorian_flag,BLOCKED,HARD_BLOCK:EXCLUSIVE|NO_AUCTION,0,0,0,0,0,PROTECTED,0,,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
