itemid,name,canonical_class,class_source,seller_policy_eligible,buyer_policy_eligible,seller_source,buyer_source,maturity,maturity_source,base_reason,overlay_reason,applied_overlays,policy_ready,pricing_ready,source_policy_family,source_gate_open,synthetic_supply_source_allowed,source_keep_protected,pricing_gate_required,live_seller_baseline,live_buyer_baseline,activation_ready,auto_live_promotion
61,armoire,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
76,royal_bookshelf,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
77,bookshelf,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
86,san_dorian_holiday_tree,PROTECTED,candidate-market-policy,0,0,,,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,ORDINARY_SOURCE,1,1,0,0,0,0,0,0
87,kadomatsu,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
88,timepiece,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
89,wastebasket,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
90,rusty_bucket,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
91,blue_pitcher,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
92,tarutaru_stool,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
93,water_cask,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,PROTECTED_SOURCE,1,0,1,0,0,0,0,0
95,water_barrel,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
96,beverage_barrel,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
97,book_holder,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
98,scimitar_cactus,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
99,elshimo_palm,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
100,okadomatsu,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
102,flower_stand,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
103,goldfish_bowl,SCARCE,hq-rare,1,1,hq-rare,hq-rare,SEED,hq-rare,ORDINARY_RARE_ITEM,RARE_CRAFTED_ITEM,hq-rare,0,1,,1,1,0,0,0,0,0,0
104,tarutaru_folding_screen,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
105,sky_pot,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
106,red_jar,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
107,water_jug,PROTECTED,candidate-market-policy,0,0,,,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,ORDINARY_SOURCE,1,1,0,0,0,0,0,0
109,urn,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,PROTECTED_SOURCE,1,0,1,0,0,0,0,0
110,white_jar,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
112,yellow_jar,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
113,cleaning_tool_set,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
114,my_first_magic_kit,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
115,bastokan_holiday_tree,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,PROTECTED_SOURCE,1,0,1,0,0,0,0,0
116,windurstian_holiday_tree,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,PROTECTED_SOURCE,1,0,1,0,0,0,0,0
117,wing_egg,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
118,lamp_egg,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
119,flower_egg,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
120,freshwater_aquarium,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
121,saltwater_aquarium,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
122,amir_bed,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
123,athenienne,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
124,wardrobe,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
125,reliquary,PROTECTED,candidate-market-policy,0,0,,,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,ORDINARY_SOURCE,1,1,0,0,0,0,0,0
126,falsiam_vase,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
127,coffee_table,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
128,console,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
129,imperial_standard,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
130,marble_bed,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
131,stationery_set,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
132,tableware_set,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
133,tea_set,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
134,copy_of_emeralda,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
135,magic_tome_set,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,PROTECTED_SOURCE,1,0,1,0,0,0,0,0
136,set_of_kaiserin_cosmetics,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
137,cordon_bleu_cooking_set,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
138,jeunoan_tree,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
139,star_globe,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
140,dream_platter,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
141,dream_coffer,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
142,drogarogas_fang,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
143,ngoma,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
144,caisson,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
145,thurible,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
146,walahra_burner,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
147,imperial_tapestry,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
148,cartonnier,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
149,set_of_alchemists_tools,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
150,leather_pot,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
151,stack_of_fools_gold,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
152,flowerpot,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,PROTECTED_SOURCE,1,0,1,0,0,0,0,0
153,mastersmith_anvil,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
154,miniature_airship,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
155,dream_stocking,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
176,snowman_knight,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
177,snowman_miner,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
178,snowman_mage,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
179,jeweled_egg,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
180,bonbori,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
181,san_dorian_flag,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
182,bastokan_flag,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
183,windurstian_flag,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
184,jeunoan_flag,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
185,rook_banner,PROTECTED,candidate-market-policy,0,0,,,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,ORDINARY_SOURCE,1,1,0,0,0,0,0,0
186,shield_plaque,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
187,buckler_plaque,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
188,copy_of_acolytes_grief,PROTECTED,candidate-market-policy,0,0,,,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,ORDINARY_SOURCE,1,1,0,0,0,0,0,0
189,copy_of_autumns_end_in_gustaberg,PROTECTED,candidate-market-policy,0,0,,,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,ORDINARY_SOURCE,1,1,0,0,0,0,0,0
190,copy_of_lines_and_space,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,1,,1,1,0,0,0,0,0,0
191,fishing_hole_map,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
192,copy_of_hoary_spire,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
193,adventuring_certificate,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
194,blacksmiths_plaque,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,PROTECTED_SOURCE,1,0,1,0,0,0,0,0
195,stuffed_big_one,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
196,melodious_egg,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
197,clockwork_egg,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
198,gilt_tapestry,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
199,hatchling_egg,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
200,tsahyan_mask,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
201,totem_pole,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
202,golden_fleece,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
203,bomb_lantern,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
204,pumpkin_lantern,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
205,mandragora_lantern,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
206,copy_of_ancient_blood,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
207,fire_lamp,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
208,ice_lamp,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
209,wind_lamp,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
210,earth_lamp,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
211,lightning_lamp,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
212,water_lamp,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
213,light_lamp,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
214,dark_lamp,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
215,set_of_festival_dolls,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
216,porcelain_flowerpot,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
217,brass_flowerpot,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
218,earthen_flowerpot,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
219,ceramic_flowerpot,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
220,wooden_flowerpot,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,SOURCE_REVIEW,0,0,1,0,0,0,0,0
221,arcane_flowerpot,PROTECTED,unknown-provenance-safety,0,0,unknown-provenance-safety,unknown-provenance-safety,,,UNKNOWN_ACQUISITION,,unknown-provenance,0,1,PROTECTED_SOURCE,1,0,1,0,0,0,0,0
222,fighting_fish_tank,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
223,river_aquarium,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
224,bay_aquarium,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
225,reef_aquarium,NORMAL,candidate-market-policy,0,0,,,,,ORDINARY_NONSTACKABLE_GOOD,,,1,1,,1,1,0,0,0,0,0,0
246,blackhorn,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
247,stripehorn,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
248,whitehorn,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
256,hume_♂_mannequin,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
257,hume_♀_mannequin,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
258,elvaan_♂_mannequin,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
259,elvaan_♀_mannequin,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
260,tarutaru_♂_mannequin,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
261,tarutaru_♀_mannequin,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
262,mithra_mannequin,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
263,galka_mannequin,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
264,stuffed_chocobo,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
265,adamantoise_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
266,behemoth_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
267,fafnir_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
268,nomad_moogle_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
269,shadow_lord_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
270,odin_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
271,alexander_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
272,ark_angel_hm_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
273,ark_angel_ev_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
274,ark_angel_tt_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
275,ark_angel_mr_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
276,ark_angel_gk_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
277,prishe_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
278,cardian_statue,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
279,shadow_lord_statue_ii,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
280,shadow_lord_statue_iii,BLOCKED,candidate-market-policy,0,0,,,,,NO_AUCTION,,,0,0,,1,1,0,0,0,0,0,0
