itemid,name,phase,stack_size,ah_category,flags,base_sell,rare,scroll,can_equip,vendor_item,crystal,craft_input,nq_output,hq_output,restricted_input,restricted_nq_output,restricted_hq_output,input_min_skill,nq_min_skill,hq_min_skill,fish_skill,provenance,market_class,allowed,rejection_reason
77,bookshelf,SEED,1,34,36,14600,False,False,False,False,False,False,True,True,False,False,False,,95.0,95.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
86,san_dorian_holiday_tree,SEED,1,34,32768,2015,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
87,kadomatsu,SEED,1,34,0,2015,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
88,timepiece,SEED,1,0,61504,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
89,wastebasket,SEED,1,0,24656,519,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
90,rusty_bucket,SEED,1,34,4,50,False,False,False,False,False,False,False,False,False,False,False,,,,1.0,FISHING,PROTECTED,False,NOT_STACKABLE_12_OR_99
91,blue_pitcher,SEED,1,34,4,37,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
92,tarutaru_stool,SEED,1,34,36,246,False,False,False,True,False,False,True,True,False,False,False,,25.0,25.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
93,water_cask,SEED,1,34,4,94,False,False,False,True,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
95,water_barrel,SEED,1,34,36,2500,False,False,False,False,False,True,True,True,False,False,False,67.0,71.0,71.0,,CRAFT_INPUT|CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
96,beverage_barrel,SEED,1,34,36,50,False,False,False,False,False,False,True,True,False,False,False,,67.0,67.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
97,book_holder,SEED,1,34,36,204,False,False,False,False,False,False,True,True,False,False,False,,31.0,31.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
98,scimitar_cactus,SEED,1,34,36,400,False,False,False,False,False,False,True,True,False,False,False,,79.0,79.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
99,elshimo_palm,SEED,1,34,36,400,False,False,False,False,False,False,True,True,False,False,False,,83.0,83.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
100,okadomatsu,SEED,1,34,0,200,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
102,flower_stand,SEED,1,34,36,97,False,False,False,False,False,False,True,True,False,False,False,,44.0,44.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
103,goldfish_bowl,SEED,1,34,36896,0,True,False,False,False,False,False,True,True,False,False,False,,10.0,10.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE
104,tarutaru_folding_screen,SEED,1,34,36,427,False,False,False,True,False,True,True,True,False,False,False,60.0,72.0,72.0,,CRAFT_INPUT|CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
105,sky_pot,SEED,1,0,24660,50,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
106,red_jar,SEED,1,0,24660,50,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
107,water_jug,SEED,1,34,4,50,False,False,False,True,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
109,urn,SEED,1,34,0,356,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
110,white_jar,SEED,1,34,4,1038,False,False,False,True,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
112,yellow_jar,SEED,1,34,4,124,False,False,False,True,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
113,cleaning_tool_set,SEED,1,34,4,50,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
114,my_first_magic_kit,SEED,1,0,24660,195,False,False,False,True,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
115,bastokan_holiday_tree,SEED,1,34,32768,2015,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
116,windurstian_holiday_tree,SEED,1,34,32768,2015,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
117,wing_egg,SEED,1,0,53312,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
118,lamp_egg,SEED,1,0,53312,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
119,flower_egg,SEED,1,0,53312,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
120,freshwater_aquarium,SEED,1,34,36,0,False,False,False,False,False,False,True,True,False,False,False,,80.0,80.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE
121,saltwater_aquarium,SEED,1,34,36,3720,False,False,False,False,False,False,True,True,False,False,False,,89.0,89.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
122,amir_bed,SEED,1,34,36,2091,False,False,False,False,False,False,True,True,False,False,False,,79.0,79.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
123,athenienne,SEED,1,34,36,1367,False,False,False,False,False,False,True,True,False,False,False,,27.0,27.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
124,wardrobe,SEED,1,34,36,2418,False,False,False,False,False,False,True,True,False,False,False,,98.0,98.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
125,reliquary,SEED,1,34,36,2000,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
126,falsiam_vase,SEED,1,34,36,1626,False,False,False,False,False,False,True,True,False,False,False,,71.0,71.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
127,coffee_table,SEED,1,34,36,2514,False,False,False,False,False,False,True,True,False,False,False,,95.0,95.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
128,console,SEED,1,34,36,1410,False,False,False,False,False,False,True,True,False,False,False,,69.0,69.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
129,imperial_standard,SEED,1,0,61504,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
130,marble_bed,SEED,1,34,36,10000,False,False,False,False,False,False,True,True,False,False,False,,86.0,86.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
131,stationery_set,SEED,1,0,24656,50,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
132,tableware_set,SEED,1,34,4,2418,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
133,tea_set,SEED,1,34,4,2418,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
134,copy_of_emeralda,SEED,1,0,57408,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
135,magic_tome_set,SEED,1,34,0,16,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
136,set_of_kaiserin_cosmetics,SEED,1,0,24660,195,False,False,False,True,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
137,cordon_bleu_cooking_set,SEED,1,0,57408,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
138,jeunoan_tree,SEED,1,0,61520,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
139,star_globe,SEED,1,34,36,13430,False,False,False,False,False,False,True,True,False,False,False,,96.0,96.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
140,dream_platter,SEED,1,0,61520,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
141,dream_coffer,SEED,1,0,61520,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
142,drogarogas_fang,SEED,1,0,57408,18915,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
143,ngoma,SEED,1,34,36,4260,False,False,False,False,False,False,True,True,False,False,False,,76.0,76.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
144,caisson,SEED,1,34,36,607,False,False,False,False,False,False,True,True,False,False,False,,38.0,38.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
145,thurible,SEED,1,34,36,1918,False,False,False,False,False,False,True,True,False,False,False,,97.0,97.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
146,walahra_burner,SEED,1,34,36,14000,False,False,False,False,False,False,True,True,False,False,False,,93.0,93.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
147,imperial_tapestry,SEED,1,34,36,3836,False,False,False,False,False,False,True,True,False,False,False,,96.0,96.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
148,cartonnier,SEED,1,34,36,6800,False,False,False,False,False,False,True,True,False,False,False,,96.0,96.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
149,set_of_alchemists_tools,SEED,1,34,36,11600,False,False,False,False,False,False,True,True,False,False,False,,89.0,89.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
150,leather_pot,SEED,1,34,36,1209,False,False,False,False,False,False,True,True,False,False,False,,92.0,92.0,,CRAFT_NQ_OUTPUT|CRAFT_HQ_OUTPUT,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
151,stack_of_fools_gold,SEED,1,0,57408,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
152,flowerpot,SEED,1,34,32,50,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
153,mastersmith_anvil,SEED,1,0,57408,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
154,miniature_airship,SEED,1,0,57408,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
155,dream_stocking,SEED,1,0,61520,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
176,snowman_knight,SEED,1,0,61520,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
177,snowman_miner,SEED,1,0,61520,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
178,snowman_mage,SEED,1,0,61520,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
179,jeweled_egg,SEED,1,0,61520,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
180,bonbori,SEED,1,0,12352,0,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
181,san_dorian_flag,SEED,1,0,61504,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
182,bastokan_flag,SEED,1,0,61504,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
183,windurstian_flag,SEED,1,0,61504,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
184,jeunoan_flag,SEED,1,0,61504,0,True,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
185,rook_banner,SEED,1,34,36,8250,False,False,False,False,False,False,False,False,False,False,False,,,,,,PROTECTED,False,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
