itemid,name,item_type,ah_category,stack_size,policy_family,acquisition_state,source_gate_open,synthetic_supply_source_allowed,pricing_gate_required,seller_source_eligible,buyer_source_eligible,keep_protected,policy_reason,prior_resolution,source_types,repository_source_families,activation_ready,auto_live_promotion
9535,gravitation_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9536,light_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9537,darkness_sphere,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9538,rusted_identification_card,1,0,99,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9539,beastmens_medal,1,0,99,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9540,blackened_identification_card,1,0,99,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9541,kindreds_medal,1,0,99,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9542,old_identification_card,1,0,99,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9543,demons_medal,1,0,99,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9933,golden_shell,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
9934,aurum_shell,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
10013,bolt_of_vicuna_cloth,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
10014,plank_of_ash_wood,1,0,12,INTERNAL_REVIEW,UNKNOWN,0,0,0,0,0,1,INTERNAL_OR_UNUSED_CANDIDATE,INTERNAL_OR_UNUSED_CANDIDATE,,,0,0
520,linkshell,1,0,1,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_NUMERIC_REFERENCE|MISSION_REWARD_NUMERIC_REFERENCE|NPC_SCRIPT_NUMERIC_REFERENCE|NPC_VENDOR_NUMERIC_REFERENCE|QUEST_NUMERIC_REFERENCE|QUEST_REWARD_NUMERIC_REFERENCE|SCRIPT_REWARD_NUMERIC_REFERENCE|TRADE_NUMERIC_REFERENCE|TREASURE_LOOT_REFERENCE,,0,0
568,goblin_die,1,50,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
572,bag_of_herb_seeds,1,46,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE|NPC_VENDOR_REFERENCE|SCRIPT_REWARD,,0,0
573,bag_of_vegetable_seeds,1,46,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE,,0,0
574,bag_of_fruit_seeds,1,46,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE,,0,0
575,bag_of_grain_seeds,1,46,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE,,0,0
611,bag_of_rye_flour,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,NPC_SCRIPT_REFERENCE|NPC_VENDOR_REFERENCE,,0,0
617,ginger_root,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING,,0,0
623,handful_of_bay_leaves,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,NPC_VENDOR_REFERENCE,,0,0
628,stick_of_cinnamon,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|NPC_SCRIPT_REFERENCE|QUEST_REFERENCE,,0,0
633,flask_of_olive_oil,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,NPC_SCRIPT_REFERENCE|NPC_VENDOR_REFERENCE,,0,0
635,clump_of_windurstian_tea_leaves,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
636,sprig_of_chamomile,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|NPC_SCRIPT_REFERENCE|QUEST_REFERENCE,,0,0
638,sprig_of_sage,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|NPC_VENDOR_REFERENCE,,0,0
639,ronfaure_chestnut,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
640,chunk_of_copper_ore,1,38,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE|SCRIPT_REWARD,,0,0
641,chunk_of_tin_ore,1,38,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|QUEST_REFERENCE|SCRIPT_REWARD,,0,0
642,chunk_of_zinc_ore,1,39,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|QUEST_REFERENCE|SCRIPT_REWARD,,0,0
643,chunk_of_iron_ore,1,38,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE|SCRIPT_REWARD|TREASURE_SYSTEM_REFERENCE,,0,0
645,chunk_of_darksteel_ore,1,38,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE|QUEST_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
646,chunk_of_adaman_ore,1,38,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|MISSION_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
678,chunk_of_aluminum_ore,1,39,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
685,chunk_of_khroma_ore,1,38,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING|TREASURE_SYSTEM_REFERENCE,,0,0
689,lauan_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
690,elm_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
691,maple_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|TREASURE_SYSTEM_REFERENCE,,0,0
692,beech_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
693,walnut_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
694,chestnut_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
695,willow_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
696,yew_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
697,holly_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
698,ash_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE,,0,0
699,oak_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
700,mahogany_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|TREASURE_SYSTEM_REFERENCE,,0,0
701,rosewood_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|TREASURE_SYSTEM_REFERENCE,,0,0
702,ebony_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|TREASURE_SYSTEM_REFERENCE,,0,0
703,petrified_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|QUEST_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
721,piece_of_rattan_lumber,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
727,dogwood_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
729,bloodwood_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
731,aquilaria_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING|NPC_VENDOR_REFERENCE,,0,0
732,kapor_log,1,43,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
736,chunk_of_silver_ore,1,39,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|TREASURE_SYSTEM_REFERENCE,,0,0
737,chunk_of_gold_ore,1,39,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|QUEST_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
738,chunk_of_platinum_ore,1,39,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|QUEST_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
739,chunk_of_orichalcum_ore,1,39,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|TREASURE_SYSTEM_REFERENCE,,0,0
748,gold_beastcoin,1,50,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|MISSION_REFERENCE|NPC_SCRIPT_REFERENCE,,0,0
749,mythril_beastcoin,1,50,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|NPC_SCRIPT_REFERENCE|QUEST_REFERENCE,,0,0
751,platinum_beastcoin,1,50,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|QUEST_REFERENCE,,0,0
833,clump_of_moko_grass,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_VENDOR_REFERENCE|SCRIPT_REWARD,,0,0
834,ball_of_saruta_cotton,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|QUEST_REFERENCE,,0,0
835,flax_flower,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING|NPC_VENDOR_REFERENCE|QUEST_REFERENCE,,0,0
838,spider_web,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING,,0,0
839,piece_of_crawler_cocoon,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
840,chocobo_feather,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|NPC_SCRIPT_REFERENCE|NPC_VENDOR_REFERENCE,,0,0
841,yagudo_feather,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING,,0,0
844,phoenix_feather,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|TREASURE_SYSTEM_REFERENCE,,0,0
845,black_chocobo_feather,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|NPC_SCRIPT_REFERENCE,,0,0
847,bird_feather,1,40,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|QUEST_REFERENCE,,0,0
866,handful_of_wyvern_scales,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|TREASURE_SYSTEM_REFERENCE,,0,0
867,handful_of_dragon_scales,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|TREASURE_SYSTEM_REFERENCE,,0,0
880,bone_chip,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|QUEST_REFERENCE,,0,0
881,crab_shell,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
885,turtle_shell,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
886,demon_skull,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|TREASURE_SYSTEM_REFERENCE,,0,0
898,chicken_bone,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
902,demon_horn,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|TREASURE_SYSTEM_REFERENCE,,0,0
912,beehive_chip,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING|NPC_SCRIPT_REFERENCE|QUEST_REFERENCE,,0,0
918,sprig_of_mistletoe,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING,,0,0
923,dryad_root,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING,,0,0
924,vial_of_fiend_blood,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,NPC_VENDOR_REFERENCE,,0,0
928,pinch_of_bomb_ash,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING|NPC_VENDOR_REFERENCE|QUEST_REFERENCE,,0,0
936,chunk_of_rock_salt,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|HELM_GATHERING|NPC_SCRIPT_REFERENCE|NPC_VENDOR_REFERENCE|QUEST_REFERENCE|QUEST_REWARD,,0,0
940,revival_tree_root,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING|QUEST_REFERENCE,,0,0
942,philosophers_stone,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING|QUEST_REFERENCE|TREASURE_SYSTEM_REFERENCE,,0,0
951,wijnruit,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING|NPC_SCRIPT_REFERENCE|QUEST_REFERENCE,,0,0
952,bag_of_poison_flour,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,NPC_VENDOR_REFERENCE,,0,0
958,marguerite,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,NPC_SCRIPT_REFERENCE|NPC_VENDOR_REFERENCE|QUEST_REFERENCE,,0,0
975,three_of_batons_card,1,36,1,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,MISSION_REWARD_NUMERIC_REFERENCE|NPC_VENDOR_NUMERIC_REFERENCE|SCRIPT_REWARD_NUMERIC_REFERENCE,,0,0
995,ten_of_swords_card,1,36,1,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_NUMERIC_REFERENCE|NPC_SCRIPT_NUMERIC_REFERENCE|NPC_VENDOR_NUMERIC_REFERENCE|QUEST_REWARD_NUMERIC_REFERENCE|SCRIPT_REWARD_NUMERIC_REFERENCE|TREASURE_LOOT_REFERENCE,,0,0
1000,two_of_coins_card,1,36,1,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,CHOCOBO_DIGGING_NUMERIC_REFERENCE|HELM_NUMERIC_REFERENCE|MISSION_NUMERIC_REFERENCE|MISSION_REWARD_NUMERIC_REFERENCE|MOB_SCRIPT_NUMERIC_REFERENCE|NPC_SCRIPT_NUMERIC_REFERENCE|NPC_VENDOR_NUMERIC_REFERENCE|QUEST_NUMERIC_REFERENCE|QUEST_REWARD_NUMERIC_REFERENCE|SCRIPT_REWARD_NUMERIC_REFERENCE|TRADE_NUMERIC_REFERENCE|TREASURE_LOOT_REFERENCE,,0,0
1016,remi_shell,1,42,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_ACQUISITION_FAMILY,ORDINARY_REPOSITORY_SOURCE_FOUND,NPC_SCRIPT_REFERENCE,MOG_GARDEN|OTHER_ACQUISITION_CONTEXT,0,0
1102,bunch_of_blazing_peppers,1,59,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING|QUEST_REFERENCE,,0,0
1108,pinch_of_sulfur,1,44,12,ORDINARY_SOURCE,RESOLVED,1,1,0,1,1,0,ORDINARY_SOURCE_FOUND,ORDINARY_SOURCE_FOUND,HELM_GATHERING,,0,0
