itemid,name,candidate_class,candidate_reason,candidate_sell_capable,candidate_buy_capable,review_required,pricing_ready,policy_ready,activation_ready,future_activation_blocker,auto_live_promotion,current_seed_sell_allowed,current_seed_buy_allowed,current_market_class,item_type,vendor_item,has_vendor_price_floor,source_override_applied,source_override_class,source_override_types,source_override_reason,mob_source_class,has_ordinary_mob_source,has_notorious_mob_source,has_special_mob_source,craft_nq_output,craft_hq_output,restricted_nq_output,restricted_hq_output,fishing,rare,can_equip,stack_size,base_sell,rejection_reason
24,oak_table,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,0,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,3120,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
26,tarutaru_desk,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,1500,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
28,drawing_desk,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,19980,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
29,secretaire,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,2418,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
30,bureau,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,7010,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
32,dresser,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,0,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,9120,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
33,millionaire_desk,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,24500,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
43,wicker_box,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,750,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
46,armor_box,PROTECTED,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,1214,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
49,coffer,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,0,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,1278,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
51,chest,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,195,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
54,chocobo_commode,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,0,NO_AUCTION|EXCLUSIVE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
55,cabinet,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,0,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,3200,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
56,commode,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,4900,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
57,cupboard,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,1965,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
59,chiffonier,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,0,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,4594,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
61,armoire,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,12750,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
76,royal_bookshelf,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,14625,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
77,bookshelf,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,14600,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
86,san_dorian_holiday_tree,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,2015,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
87,kadomatsu,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,2015,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
88,timepiece,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
89,wastebasket,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,519,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
90,rusty_bucket,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,1,0,0,1,50,NOT_STACKABLE_12_OR_99
91,blue_pitcher,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,37,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
92,tarutaru_stool,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,0,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,246,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
93,water_cask,PROTECTED,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,94,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
95,water_barrel,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,2500,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
96,beverage_barrel,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,50,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
97,book_holder,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,204,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
98,scimitar_cactus,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,400,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
99,elshimo_palm,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,400,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
100,okadomatsu,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,200,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
102,flower_stand,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,97,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
103,goldfish_bowl,SCARCE,ORDINARY_RARE_ITEM,1,1,1,1,0,0,REVIEW_REQUIRED,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,1,0,1,0,RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE
104,tarutaru_folding_screen,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,0,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,427,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
105,sky_pot,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,50,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
106,red_jar,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,50,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
107,water_jug,PROTECTED,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,50,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
109,urn,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,356,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
110,white_jar,PROTECTED,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,1038,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
112,yellow_jar,PROTECTED,KNOWN_PROVENANCE_NOT_YET_CLASSIFIED,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,124,NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE
113,cleaning_tool_set,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,50,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
114,my_first_magic_kit,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,195,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
115,bastokan_holiday_tree,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,2015,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
116,windurstian_holiday_tree,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,2015,RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
117,wing_egg,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
118,lamp_egg,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
119,flower_egg,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
120,freshwater_aquarium,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,0,NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE
121,saltwater_aquarium,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,3720,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
122,amir_bed,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,2091,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
123,athenienne,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,1367,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
124,wardrobe,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,2418,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
125,reliquary,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,2000,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
126,falsiam_vase,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,1626,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
127,coffee_table,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,2514,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
128,console,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,1410,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
129,imperial_standard,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
130,marble_bed,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,10000,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
131,stationery_set,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,50,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
132,tableware_set,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,2418,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
133,tea_set,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,2418,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
134,copy_of_emeralda,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
135,magic_tome_set,PROTECTED,UNKNOWN_ACQUISITION,0,0,1,1,0,0,NONACTIVE_CLASS,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,16,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
136,set_of_kaiserin_cosmetics,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,195,NO_AUCTION|EXCLUSIVE|NOT_STACKABLE_12_OR_99|NPC_VENDOR|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
137,cordon_bleu_cooking_set,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
138,jeunoan_tree,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
139,star_globe,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,13430,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
140,dream_platter,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
141,dream_coffer,BLOCKED,NO_AUCTION,0,0,0,0,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,0,NO_AUCTION|EXCLUSIVE|RARE|NO_NPC_SALE|NOT_STACKABLE_12_OR_99|NO_BASE_SELL_VALUE|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
142,drogarogas_fang,BLOCKED,NO_AUCTION,0,0,0,1,0,0,NONACTIVE_CLASS,0,0,0,BLOCKED,3,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,1,18915,NO_AUCTION|EXCLUSIVE|RARE|NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE|NO_PRICE_ANCHOR
143,ngoma,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,4260,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
144,caisson,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,607,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
145,thurible,NORMAL,ORDINARY_NONSTACKABLE_GOOD,1,1,0,1,1,0,MATURITY_GATE_PENDING,0,0,0,PROTECTED,3,0,0,0,,,,,0,0,0,1,1,0,0,0,0,0,1,1918,NOT_STACKABLE_12_OR_99|NOT_SEED_SOURCE
