itemid,name,vendor_price_min,vendor_price_max,has_hard_floor,priced_source_count,vendor_source_count,gated_source_count,source_types,source_files
636,CHAMOMILE,117,143,1,3,3,1,GENERAL|GENERAL_FAME|NATION,scripts/globals/shop.lua|scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua
637,VIAL_OF_SLIME_OIL,1500,1500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
638,SPRIG_OF_SAGE,166,203,1,1,1,1,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Aveline.lua
639,RONFAURE_CHESTNUT,,,0,0,0,0,,scripts/globals/shop.lua
640,CHUNK_OF_COPPER_ORE,10,13,1,5,5,5,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
641,CHUNK_OF_TIN_ORE,60,60,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
642,CHUNK_OF_ZINC_ORE,200,200,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
643,CHUNK_OF_IRON_ORE,810,990,1,4,4,4,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
644,CHUNK_OF_MYTHRIL_ORE,1782,2200,1,4,4,4,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
645,CHUNK_OF_DARKSTEEL_ORE,7000,7000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
652,STEEL_INGOT,6000,6000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
657,LUMP_OF_TAMA_HAGANE,7000,12000,1,2,2,1,GENERAL|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua
660,BRONZE_SHEET,120,120,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
661,BRASS_SHEET,300,300,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
662,IRON_SHEET,6000,6000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
663,MYTHRIL_SHEET,12000,12000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
664,DARKSTEEL_SHEET,28000,28000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
666,STEEL_SHEET,10000,10000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
678,CHUNK_OF_ALUMINUM_ORE,5000,5000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
688,ARROWWOOD_LOG,20,25,1,3,3,1,GENERAL|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/tests/systems/trading/player_trade.lua|scripts/zones/Tavnazian_Safehold/npcs/Mazuro-Oozuro.lua|scripts/zones/Tavnazian_Safehold/npcs/Nilerouche.lua
689,LAUAN_LOG,50,50,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
690,ELM_LOG,3800,7800,1,3,3,1,GENERAL|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/zones/Tavnazian_Safehold/npcs/Mazuro-Oozuro.lua|scripts/zones/Tavnazian_Safehold/npcs/Nilerouche.lua
691,MAPLE_LOG,70,70,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
693,WALNUT_LOG,1300,1300,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
694,CHESTNUT_LOG,2543,3400,1,4,4,4,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
695,WILLOW_LOG,1600,1600,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
696,YEW_LOG,500,500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
697,HOLLY_LOG,800,800,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
698,ASH_LOG,86,105,1,3,3,3,NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
699,OAK_LOG,4000,6952,1,4,4,4,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
700,MAHOGANY_LOG,4500,4500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
701,ROSEWOOD_LOG,4500,4500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
702,EBONY_LOG,5000,5000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
704,BAMBOO_STICK,129,158,1,3,3,2,GENERAL|NATION,scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua|scripts/zones/Port_Bastok/npcs/Numa.lua|scripts/zones/Port_San_dOria/npcs/Coullave.lua
721,PIECE_OF_RATTAN_LUMBER,,,0,0,0,0,,scripts/globals/shop.lua
727,DOGWOOD_LOG,2000,2000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
731,AQUILARIA_LOG,2815,3440,1,1,1,0,GENERAL_FAME,scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua
736,CHUNK_OF_SILVER_ORE,450,450,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
737,CHUNK_OF_GOLD_ORE,3000,3000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
738,CHUNK_OF_PLATINUM_ORE,6000,6000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
752,GOLD_SHEET,32000,32000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
760,SILVER_CHAIN,23000,23000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
761,GOLD_CHAIN,58000,58000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
788,PERIDOT,8000,8000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
790,GARNET,8000,8000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
792,PEARL,11000,11000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
793,BLACK_PEARL,12000,12000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
795,LAPIS_LAZULI,1676,2049,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua
796,LIGHT_OPAL,1676,2049,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua
798,TURQUOISE,8000,8000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
799,ONYX,1676,2049,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua
800,AMETHYST,1676,2049,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua
806,TOURMALINE,1676,2049,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua
807,SARDONYX,1676,2049,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua
808,GOSHENITE,8000,8000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
809,CLEAR_TOPAZ,1676,2049,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua
811,AMETRINE,8000,8000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
814,AMBER_STONE,1676,2049,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua
815,SPHENE,8000,8000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
816,SPOOL_OF_SILK_THREAD,1500,1500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
819,SPOOL_OF_LINEN_THREAD,150,150,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
820,SPOOL_OF_WOOL_THREAD,2800,2800,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
823,SPOOL_OF_GOLD_THREAD,14500,14500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
829,SQUARE_OF_SILK_CLOTH,21000,21000,1,1,1,0,GENERAL,scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua
833,CLUMP_OF_MOKO_GRASS,18,22,1,4,4,4,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
834,BALL_OF_SARUTA_COTTON,500,500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
835,FLAX_FLOWER,223,275,1,3,3,3,NATION,scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua
840,CHOCOBO_FEATHER,7,8,1,8,8,3,GENERAL|GENERAL_FAME|NATION,scripts/zones/Bastok_Mines/npcs/Neigepance.lua|scripts/zones/Kazham/npcs/Mamerie.lua|scripts/zones/Lower_Jeuno/npcs/Rhimonne.lua|scripts/zones/Port_Jeuno/npcs/Challoux.lua|scripts/zones/Rabao/npcs/Generoit.lua|scripts/zones/Southern_San_dOria/npcs/Ferdoulemiont.lua|scripts/zones/Upper_Jeuno/npcs/Mejuone.lua|scripts/zones/Windurst_Woods/npcs/Quesse.lua
841,YAGUDO_FEATHER,,,0,0,0,0,,scripts/globals/shop.lua
845,BLACK_CHOCOBO_FEATHER,1115,1375,1,3,3,3,NATION,scripts/zones/Bastok_Mines/npcs/Neigepance.lua|scripts/zones/Southern_San_dOria/npcs/Ferdoulemiont.lua|scripts/zones/Windurst_Woods/npcs/Quesse.lua
852,LIZARD_SKIN,600,600,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
853,RAPTOR_SKIN,3000,3000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
854,COCKATRICE_SKIN,3000,3000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
856,RABBIT_HIDE,80,80,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
857,DHALMEL_HIDE,2400,2400,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
858,WOLF_HIDE,600,600,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
859,RAM_SKIN,1500,1500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
864,HANDFUL_OF_FISH_SCALES,96,96,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
878,KARAKUL_SKIN,600,600,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
880,BONE_CHIP,150,150,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
881,CRAB_SHELL,2500,2500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
884,BLACK_TIGER_FANG,2000,2000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
885,TURTLE_SHELL,6000,6000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
889,BEETLE_SHELL,500,500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
893,GIANT_FEMUR,1400,1400,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
894,BEETLE_JAW,1000,1000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
895,RAM_HORN,1800,1800,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
896,SCORPION_SHELL,3000,3000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
897,SCORPION_CLAW,2400,2400,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
898,CHICKEN_BONE,1500,1500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
912,BEEHIVE_CHIP,40,40,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
914,VIAL_OF_MERCURY,1700,1700,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
915,JAR_OF_TOAD_OIL,3600,3600,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
916,CACTUAR_NEEDLE,,,0,0,0,0,,scripts/globals/shop.lua
917,SHEET_OF_PARCHMENT,1782,2178,1,1,1,0,GENERAL_FAME,scripts/zones/Mhaura/npcs/Pikini-Mikini.lua
921,BOTTLE_OF_AHRIMAN_TEARS,200,200,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
923,DRYAD_ROOT,1800,1800,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
924,VIAL_OF_FIEND_BLOOD,544,665,1,1,1,0,GENERAL_FAME,scripts/zones/Kazham/npcs/Pahya_Lolohoiv.lua
928,PINCH_OF_BOMB_ASH,463,566,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Metalworks/npcs/Olaf.lua|scripts/zones/Nashmau/npcs/Pipiroon.lua
931,CERMET_CHUNK,5000,5000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
932,LOOP_OF_CARBON_FIBER,1900,1900,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
933,LOOP_OF_GLASS_FIBER,1200,1200,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
936,CHUNK_OF_ROCK_SALT,13,16,1,3,3,2,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua
937,BLOCK_OF_ANIMAL_GLUE,300,300,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
939,HECTEYES_EYE,2100,2100,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
941,RED_ROSE,72,88,1,2,2,0,GENERAL|GENERAL_FAME,scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua
943,PINCH_OF_POISON_DUST,288,352,1,3,3,1,GENERAL|GENERAL_FAME|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Pahya_Lolohoiv.lua|scripts/zones/Lower_Jeuno/npcs/Stinknix.lua
944,PINCH_OF_VENOM_DUST,1035,1035,1,2,2,1,GENERAL|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Stinknix.lua
945,PINCH_OF_PARALYSIS_DUST,2000,2000,1,1,1,0,GENERAL,scripts/zones/Lower_Jeuno/npcs/Stinknix.lua
947,JAR_OF_FIRESAND,5000,5000,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
948,CARNATION,54,66,1,2,2,0,GENERAL|GENERAL_FAME,scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua
949,RAIN_LILY,86,105,1,2,2,0,GENERAL|GENERAL_FAME,scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua
951,WIJNRUIT,108,132,1,3,3,1,GENERAL|GENERAL_FAME|NATION,scripts/globals/shop.lua|scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua
952,BAG_OF_POISON_FLOUR,515,515,1,1,1,0,GENERAL,scripts/zones/Lower_Jeuno/npcs/Pawkrix.lua
954,MAGIC_POT_SHARD,,,0,0,0,0,,scripts/globals/shop.lua
956,LILAC,108,132,1,2,2,0,GENERAL|GENERAL_FAME,scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua
957,AMARYLLIS,108,132,1,2,2,0,GENERAL|GENERAL_FAME,scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua
958,MARGUERITE,108,132,1,2,2,0,GENERAL|GENERAL_FAME,scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua
1020,SICKLE,270,330,1,3,3,1,GENERAL|NATION,scripts/zones/Bastok_Markets_[S]/npcs/Blingbrix.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua|scripts/zones/Windurst_Waters_[S]/npcs/Pelftrix.lua
1021,HATCHET,450,550,1,5,5,1,GENERAL|GENERAL_FAME|NATION,scripts/zones/Kazham/npcs/Toji_Mumosulah.lua|scripts/zones/Mhaura/npcs/Pikini-Mikini.lua|scripts/zones/Southern_San_dOria/npcs/Ostalie.lua|scripts/zones/Southern_San_dOria_[S]/npcs/Geltpix.lua|scripts/zones/Windurst_Waters_[S]/npcs/Pelftrix.lua
1022,SET_OF_THIEFS_TOOLS,,,0,0,0,0,,scripts/zones/Bastok_Mines/npcs/Boytz.lua|scripts/zones/Southern_San_dOria/npcs/Ostalie.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua
1023,LIVING_KEY,,,0,0,0,0,,scripts/zones/Bastok_Mines/npcs/Boytz.lua|scripts/zones/Southern_San_dOria/npcs/Ostalie.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua
1024,GHELSBA_CHEST_KEY,2500,2500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
1025,PALBOROUGH_CHEST_KEY,2500,2500,1,1,1,1,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua
