itemid,name,policy_family,recommended_class,policy_reason,seller_eligible,buyer_eligible,has_hard_floor,vendor_price_min,vendor_price_max,manual_review_required,source_confidence,source_signals,quest_reference_count,mission_reference_count,reward_like_reference_count,missing_item_enum_constant,internal_type,has_same_name_mirror,strong_internal_mirror,mirror_itemid,activation_ready,auto_live_promotion
8466,magniplug_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9886,0,0
8481,mana_booster,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2242,0,0
8482,loudspeaker,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2243,0,0
8483,scanner,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2244,0,0
8484,loudspeaker_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2245,0,0
8485,tactical_processor,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2323,0,0
8486,tranquilizer,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2348,0,0
8487,ice_maker,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2410,0,0
8488,power_cooler,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,3308,0,0
8489,loudspeaker_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9034,0,0
8490,tranquilizer_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9035,0,0
8491,amplifier,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9066,0,0
8492,loudspeaker_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9133,0,0
8493,tranquilizer_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9134,0,0
8494,amplifier_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9135,0,0
8495,loudspeaker_v,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9881,0,0
8496,tranquilizer_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9882,0,0
8497,arcanoclutch,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9887,0,0
8498,arcanoclutch_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9888,0,0
8513,accelerator,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2246,0,0
8514,scope,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2247,0,0
8515,pattern_reader,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2248,0,0
8516,accelerator_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2249,0,0
8517,drum_magazine,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2324,0,0
8518,turbo_charger,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2349,0,0
8519,replicator,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2411,0,0
8520,barrage_turbine,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,3309,0,0
8521,turbo_charger_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2415,0,0
8522,accelerator_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9037,0,0
8523,scope_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9036,0,0
8524,repeater,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9067,0,0
8525,accelerator_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9136,0,0
8526,scope_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9137,0,0
8527,scope_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9884,0,0
8528,truesights,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9889,0,0
8545,shock_absorber,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,1,1,2250,0,0
8546,armor_plate,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2251,0,0
8547,analyzer,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2252,0,0
8548,armor_plate_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2253,0,0
8549,equalizer,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2325,0,0
8550,schurzen,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2350,0,0
8551,hammermill,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,1,1,2412,0,0
8552,barrier_module_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,3310,0,0
8553,shock_absorber_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,1,0,9038,0,0
8554,armor_plate_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9039,0,0
8555,barrier_module,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9068,0,0
8556,armor_plate_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9138,0,0
8557,shock_absorber_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,,0,0,0,0,4,1,0,9139,0,0
8577,stabilizer,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2254,0,0
8578,volt_gun,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2255,0,0
8579,heat_seeker,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2256,0,0
8580,stabilizer_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2257,0,0
8581,target_marker,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2326,0,0
8582,dynamo,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2351,0,0
8583,coiler,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2413,0,0
8584,galvanizer,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,3311,0,0
8585,stabilizer_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9040,0,0
8586,coiler_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9041,0,0
8587,dynamo_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9069,0,0
8588,stabilizer_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9140,0,0
8589,dynamo_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9141,0,0
8590,stabilizer_v,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9883,0,0
8609,mana_jammer,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2258,0,0
8610,heatsink,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2259,0,0
8611,stealth_screen,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2260,0,0
8612,mana_jammer_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2261,0,0
8613,mana_channeler,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2327,0,0
8614,condenser,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2352,0,0
8615,steam_jacket,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2414,0,0
8616,percolator,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,3312,0,0
8617,mana_jammer_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9042,0,0
8618,stealth_screen_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9043,0,0
8619,resister,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9070,0,0
8620,resister_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9071,0,0
8621,mana_jammer_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9142,0,0
8622,mana_channeler_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9233,0,0
8641,auto-repair_kit,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2262,0,0
8642,flashbulb,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2263,0,0
8643,damage_gauge,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,ATTACHMENT_BEHAVIOR,0,0,0,0,4,1,1,2264,0,0
8644,auto-repair_kit_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2265,0,0
8645,eraser,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2328,0,0
8646,optic_fiber,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2353,0,0
8648,vivi-valve,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,3313,0,0
8649,vivi-valve_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2416,0,0
8650,auto-repair_kit_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9044,0,0
8651,arcanic_cell,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9072,0,0
8652,arcanic_cell_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9073,0,0
8653,auto-repair_kit_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9143,0,0
8654,optic_fiber_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9234,0,0
8655,damage_gauge_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,ATTACHMENT_BEHAVIOR,0,0,0,0,4,1,0,9280,0,0
8673,mana_tank,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2266,0,0
8674,mana_converter,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2267,0,0
8675,mana_conserver,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2268,0,0
8676,mana_tank_ii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2269,0,0
8677,smoke_screen,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2329,0,0
8678,economizer,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,2354,0,0
8680,disruptor,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,1,3314,0,0
8681,mana_tank_iii,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9045,0,0
8682,regulator,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9074,0,0
8683,mana_tank_iv,PUPPET_INTERNAL,BLOCKED,INTERNAL_PUPPET_RECORD,0,0,0,0,0,0,HIGH,MISSING_ITEM_ENUM_CONSTANT,0,0,0,1,4,1,0,9144,0,0
4609,scroll_of_cure,SCROLL,SCARCE,TRUSTED_NPC_VENDOR_SCROLL,1,0,1,67,68,0,HIGH,SCRIPT_SHOP|BROAD_VENDOR_INDEX,0,0,0,0,0,0,0,0,0,0
4610,scroll_of_cure_ii,SCROLL,SCARCE,TRUSTED_NPC_VENDOR_SCROLL,1,0,1,650,650,0,HIGH,SCRIPT_SHOP|BROAD_VENDOR_INDEX,0,0,0,0,0,0,0,0,0,0
