itemid,name,policy_family,recommended_class,policy_reason,minimum_maturity,maturity_rule,seller_eligible,buyer_eligible,manual_review_required,vendor_item,pricing_ready,provenance_tags,activation_ready,auto_live_promotion
1349,cursed_kote_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1351,cursed_haidate_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1353,cursed_sune-ate_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1355,cursed_celata_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1357,cursed_hauberk_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1359,cursed_mufflers_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1361,cursed_breeches_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1363,cursed_sollerets_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1365,cursed_crown_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1367,cursed_dalmatica_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1369,cursed_mitts_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1371,cursed_slacks_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1373,cursed_pumps_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1375,cursed_schaller_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1377,cursed_cuirass_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1379,cursed_handschuhs_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1381,cursed_diechlings_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1383,cursed_schuhs_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1385,cursed_mask_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1387,cursed_mail_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1389,cursed_finger_gauntlets_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1391,cursed_cuisses_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1393,cursed_greaves_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1395,cursed_cap_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1397,cursed_harness_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1399,cursed_gloves_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1401,cursed_subligar_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1403,cursed_leggings_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1460,koh-i-noor,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ESTABLISHED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
1587,handful_of_high-quality_pugil_scales,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT|DESYNTH_OUTPUT,0,0
1836,marble_slab,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
2345,hi-chocolixir,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2346,tornado_salad,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2440,cursed_helm_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2442,cursed_breastplate_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2444,cursed_gauntlets_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2446,cursed_cuishes_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2448,cursed_sabatons_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2450,cursed_hat_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2452,cursed_coat_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2454,cursed_cuffs_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2456,cursed_trews_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
2458,cursed_clogs_-1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
3316,flame_gem,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
3317,snow_gem,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
3318,breeze_gem,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
3319,soil_gem,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
3320,thunder_gem,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
3321,aqua_gem,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
3322,light_gem,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
3323,shadow_gem,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT|CRAFT_INPUT,0,0
3925,tanzanite_jewel,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4113,potion_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ESTABLISHED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4114,potion_+2,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ESTABLISHED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4115,potion_+3,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ESTABLISHED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4117,hi-potion_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4118,hi-potion_+2,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4119,hi-potion_+3,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4121,x-potion_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4122,x-potion_+2,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4123,x-potion_+3,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4125,max-potion_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4126,max-potion_+2,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4127,max-potion_+3,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4129,ether_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4130,ether_+2,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4131,ether_+3,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4133,hi-ether_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4134,hi-ether_+2,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4135,hi-ether_+3,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4137,super_ether_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4138,super_ether_+2,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4139,super_ether_+3,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4141,pro-ether_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4142,pro-ether_+2,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4143,pro-ether_+3,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4144,hi-elixir,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,0,0,1,1,CRAFT_HQ_OUTPUT|NPC_VENDOR,0,0
4266,fulm-long_salmon_sub,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,GROWING,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4267,buttered_nebimonite,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ESTABLISHED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4268,plate_of_sea_spray_risotto,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4269,bijou_glace,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4278,shogun_rice_ball,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4280,garlic_cracker_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4281,red_hot_cracker,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4282,pipin_hot_popoto,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ESTABLISHED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4283,cup_of_choco-delight,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4284,bowl_of_tender_navarin,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4285,bowl_of_ocean_soup,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4286,cup_of_healing_tea,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4287,opo-opo_tart,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4292,loaf_of_pain_de_neige,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4293,serving_of_monastic_saute,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4294,serving_of_medicinal_quus,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4295,plate_of_royal_saute,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,FULL,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4320,apple_pie_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,MATURE,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4321,timbre_timbers_salad,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ESTABLISHED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
4322,dhalmel_pie_+1,HQ,SCARCE,RECIPE_BACKED_HQ_OUTPUT,ADVANCED,HQ_RECIPE_STAGE_PLUS_ONE,1,1,0,0,1,CRAFT_HQ_OUTPUT,0,0
