itemid,name,vendor_reference,vendor_reference_source_count,actual_vendor_source,vendor_reference_only,priced_source_count,vendor_source_count,gated_source_count,has_hard_floor,vendor_price_min,vendor_price_max,source_types,source_files,buyer_vendor_block,seller_vendor_floor_required,seller_vendor_ready,activation_ready,auto_live_promotion
218,EARTHEN_FLOWERPOT,1,1,1,0,1,1,1,1,900.0,1100.0,NATION,scripts/zones/Windurst_Waters/npcs/Ensasa.lua,1,1,1,0,0
219,CERAMIC_FLOWERPOT,1,1,1,0,1,1,1,1,900.0,1100.0,NATION,scripts/zones/Northern_San_dOria/npcs/Pirvidiauce.lua,1,1,1,0,0
505,SHEEPSKIN,1,1,1,0,1,1,1,1,100.0,100.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
532,MAGICMART_FLYER,1,2,0,1,0,0,0,0,,,,scripts/zones/Port_San_dOria/npcs/Regine.lua|scripts/zones/Southern_San_dOria/npcs/Cletae.lua,0,0,0,0,0
572,BAG_OF_HERB_SEEDS,1,1,1,0,1,1,0,1,280.0,280.0,GENERAL,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua,1,1,1,0,0
573,BAG_OF_VEGETABLE_SEEDS,1,1,1,0,1,1,0,1,280.0,280.0,GENERAL,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua,1,1,1,0,0
574,BAG_OF_FRUIT_SEEDS,1,1,1,0,1,1,0,1,320.0,320.0,GENERAL,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua,1,1,1,0,0
575,BAG_OF_GRAIN_SEEDS,1,1,1,0,1,1,0,1,280.0,280.0,GENERAL,scripts/zones/Mog_Garden/npcs/Green_Thumb_Moogle.lua,1,1,1,0,0
605,PICKAXE,1,6,1,0,6,6,4,1,180.0,220.0,GENERAL|NATION,scripts/zones/Bastok_Markets_[S]/npcs/Blingbrix.lua|scripts/zones/Bastok_Mines/npcs/Boytz.lua|scripts/zones/Port_Bastok/npcs/Numa.lua|scripts/zones/Southern_San_dOria/npcs/Ostalie.lua|scripts/zones/Upper_Jeuno/npcs/Champalpieu.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua,1,1,1,0,0
610,BAG_OF_SAN_DORIAN_FLOUR,1,3,1,0,2,2,2,1,54.0,67.0,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua,1,1,1,0,0
611,BAG_OF_RYE_FLOUR,1,4,1,0,4,4,2,1,36.0,44.0,GENERAL|GENERAL_FAME|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Selbina/npcs/Dohdjuma.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua,1,1,1,0,0
612,BUNCH_OF_KAZHAM_PEPPERS,1,2,1,0,2,2,1,1,54.0,66.0,GENERAL_FAME|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua,1,1,1,0,0
614,BULB_OF_MHAURA_GARLIC,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
615,STICK_OF_SELBINA_BUTTER,1,1,1,0,1,1,1,1,60.0,60.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
616,PIECE_OF_PIE_DOUGH,1,1,1,0,1,1,1,1,1600.0,1600.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
617,GINGER_ROOT,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
618,POD_OF_BLUE_PEAS,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
619,POPOTO,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
621,POT_OF_CRYING_MUSTARD,1,2,1,0,1,1,1,1,25.0,30.0,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua,1,1,1,0,0
622,PINCH_OF_DRIED_MARJORAM,1,3,1,0,2,2,2,1,43.0,52.0,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua,1,1,1,0,0
623,HANDFUL_OF_BAY_LEAVES,1,2,1,0,1,1,1,1,117.0,143.0,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Aveline.lua,1,1,1,0,0
625,BOTTLE_OF_APPLE_VINEGAR,1,2,1,0,1,1,1,1,79.0,96.0,NATION,scripts/zones/Southern_San_dOria/npcs/Aveline.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua,1,1,1,0,0
626,PINCH_OF_BLACK_PEPPER,1,2,1,0,1,1,0,1,255.0,255.0,GENERAL,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua,1,1,1,0,0
627,POT_OF_MAPLE_SUGAR,1,2,1,0,2,2,2,1,36.0,44.0,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua,1,1,1,0,0
628,STICK_OF_CINNAMON,1,3,1,0,2,2,1,1,234.0,286.0,GENERAL_FAME|NATION,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua,1,1,1,0,0
629,EAR_OF_MILLIONCORN,1,3,1,0,1,1,1,1,43.0,52.0,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Benaige.lua|scripts/zones/Tavnazian_Safehold/npcs/Komalata.lua,1,1,1,0,0
630,OGRE_PUMPKIN,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
631,BAG_OF_HORO_FLOUR,1,2,1,0,1,1,0,1,40.0,40.0,GENERAL,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Pawkrix.lua,1,1,1,0,0
632,KUKURU_BEAN,1,2,1,0,1,1,0,1,108.0,132.0,GENERAL_FAME,scripts/globals/shop.lua|scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua,1,1,1,0,0
633,FLASK_OF_OLIVE_OIL,1,2,1,0,1,1,1,1,13.0,16.0,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Aveline.lua,1,1,1,0,0
635,CLUMP_OF_WINDURSTIAN_TEA_LEAVES,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
636,CHAMOMILE,1,4,1,0,3,3,1,1,117.0,143.0,GENERAL|GENERAL_FAME|NATION,scripts/globals/shop.lua|scripts/zones/RuLude_Gardens/npcs/Dabih_Jajalioh.lua|scripts/zones/Upper_Jeuno/npcs/Areebah.lua|scripts/zones/Windurst_Waters/npcs/Upih_Khachla.lua,1,1,1,0,0
637,VIAL_OF_SLIME_OIL,1,1,1,0,1,1,1,1,1500.0,1500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
638,SPRIG_OF_SAGE,1,2,1,0,1,1,1,1,166.0,203.0,NATION,scripts/globals/shop.lua|scripts/zones/Southern_San_dOria/npcs/Aveline.lua,1,1,1,0,0
639,RONFAURE_CHESTNUT,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
640,CHUNK_OF_COPPER_ORE,1,4,1,0,5,5,5,1,10.0,13.0,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
641,CHUNK_OF_TIN_ORE,1,1,1,0,1,1,1,1,60.0,60.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
642,CHUNK_OF_ZINC_ORE,1,1,1,0,1,1,1,1,200.0,200.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
643,CHUNK_OF_IRON_ORE,1,4,1,0,4,4,4,1,810.0,990.0,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
644,CHUNK_OF_MYTHRIL_ORE,1,4,1,0,4,4,4,1,1782.0,2200.0,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
645,CHUNK_OF_DARKSTEEL_ORE,1,1,1,0,1,1,1,1,7000.0,7000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
652,STEEL_INGOT,1,1,1,0,1,1,1,1,6000.0,6000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
657,LUMP_OF_TAMA_HAGANE,1,2,1,0,2,2,1,1,7000.0,12000.0,GENERAL|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua,1,1,1,0,0
660,BRONZE_SHEET,1,1,1,0,1,1,1,1,120.0,120.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
661,BRASS_SHEET,1,1,1,0,1,1,1,1,300.0,300.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
662,IRON_SHEET,1,1,1,0,1,1,1,1,6000.0,6000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
663,MYTHRIL_SHEET,1,1,1,0,1,1,1,1,12000.0,12000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
664,DARKSTEEL_SHEET,1,1,1,0,1,1,1,1,28000.0,28000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
666,STEEL_SHEET,1,1,1,0,1,1,1,1,10000.0,10000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
678,CHUNK_OF_ALUMINUM_ORE,1,1,1,0,1,1,1,1,5000.0,5000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
688,ARROWWOOD_LOG,1,4,1,0,3,3,1,1,20.0,25.0,GENERAL|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/tests/systems/trading/player_trade.lua|scripts/zones/Tavnazian_Safehold/npcs/Mazuro-Oozuro.lua|scripts/zones/Tavnazian_Safehold/npcs/Nilerouche.lua,1,1,1,0,0
689,LAUAN_LOG,1,1,1,0,1,1,1,1,50.0,50.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
690,ELM_LOG,1,3,1,0,3,3,1,1,3800.0,7800.0,GENERAL|GLOBAL_SHOP_STOCK,scripts/globals/shop.lua|scripts/zones/Tavnazian_Safehold/npcs/Mazuro-Oozuro.lua|scripts/zones/Tavnazian_Safehold/npcs/Nilerouche.lua,1,1,1,0,0
691,MAPLE_LOG,1,1,1,0,1,1,1,1,70.0,70.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
693,WALNUT_LOG,1,1,1,0,1,1,1,1,1300.0,1300.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
694,CHESTNUT_LOG,1,4,1,0,4,4,4,1,2543.0,3400.0,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
695,WILLOW_LOG,1,1,1,0,1,1,1,1,1600.0,1600.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
696,YEW_LOG,1,1,1,0,1,1,1,1,500.0,500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
697,HOLLY_LOG,1,1,1,0,1,1,1,1,800.0,800.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
698,ASH_LOG,1,4,1,0,3,3,3,1,86.0,105.0,NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
699,OAK_LOG,1,4,1,0,4,4,4,1,4000.0,6952.0,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
700,MAHOGANY_LOG,1,1,1,0,1,1,1,1,4500.0,4500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
701,ROSEWOOD_LOG,1,1,1,0,1,1,1,1,4500.0,4500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
702,EBONY_LOG,1,1,1,0,1,1,1,1,5000.0,5000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
704,BAMBOO_STICK,1,3,1,0,3,3,2,1,129.0,158.0,GENERAL|NATION,scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua|scripts/zones/Port_Bastok/npcs/Numa.lua|scripts/zones/Port_San_dOria/npcs/Coullave.lua,1,1,1,0,0
721,PIECE_OF_RATTAN_LUMBER,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
727,DOGWOOD_LOG,1,1,1,0,1,1,1,1,2000.0,2000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
731,AQUILARIA_LOG,1,1,1,0,1,1,0,1,2815.0,3440.0,GENERAL_FAME,scripts/zones/Kazham/npcs/Ghemi_Sinterilo.lua,1,1,1,0,0
736,CHUNK_OF_SILVER_ORE,1,1,1,0,1,1,1,1,450.0,450.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
737,CHUNK_OF_GOLD_ORE,1,1,1,0,1,1,1,1,3000.0,3000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
738,CHUNK_OF_PLATINUM_ORE,1,1,1,0,1,1,1,1,6000.0,6000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
752,GOLD_SHEET,1,1,1,0,1,1,1,1,32000.0,32000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
760,SILVER_CHAIN,1,1,1,0,1,1,1,1,23000.0,23000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
761,GOLD_CHAIN,1,1,1,0,1,1,1,1,58000.0,58000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
788,PERIDOT,1,1,1,0,1,1,1,1,8000.0,8000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
790,GARNET,1,1,1,0,1,1,1,1,8000.0,8000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
792,PEARL,1,1,1,0,1,1,1,1,11000.0,11000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
793,BLACK_PEARL,1,1,1,0,1,1,1,1,12000.0,12000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
795,LAPIS_LAZULI,1,3,1,0,3,3,2,1,1676.0,2049.0,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua,1,1,1,0,0
796,LIGHT_OPAL,1,3,1,0,3,3,2,1,1676.0,2049.0,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua,1,1,1,0,0
798,TURQUOISE,1,1,1,0,1,1,1,1,8000.0,8000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
799,ONYX,1,3,1,0,3,3,2,1,1676.0,2049.0,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua,1,1,1,0,0
800,AMETHYST,1,3,1,0,3,3,2,1,1676.0,2049.0,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua,1,1,1,0,0
806,TOURMALINE,1,3,1,0,3,3,2,1,1676.0,2049.0,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua,1,1,1,0,0
807,SARDONYX,1,3,1,0,3,3,2,1,1676.0,2049.0,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua,1,1,1,0,0
808,GOSHENITE,1,1,1,0,1,1,1,1,8000.0,8000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
809,CLEAR_TOPAZ,1,3,1,0,3,3,2,1,1676.0,2049.0,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua,1,1,1,0,0
811,AMETRINE,1,1,1,0,1,1,1,1,8000.0,8000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
814,AMBER_STONE,1,3,1,0,3,3,2,1,1676.0,2049.0,GENERAL|GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Bastok_Markets/npcs/Carmelide.lua|scripts/zones/Lower_Jeuno/npcs/Adelflete.lua,1,1,1,0,0
815,SPHENE,1,1,1,0,1,1,1,1,8000.0,8000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
816,SPOOL_OF_SILK_THREAD,1,1,1,0,1,1,1,1,1500.0,1500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
819,SPOOL_OF_LINEN_THREAD,1,1,1,0,1,1,1,1,150.0,150.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
820,SPOOL_OF_WOOL_THREAD,1,1,1,0,1,1,1,1,2800.0,2800.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
823,SPOOL_OF_GOLD_THREAD,1,1,1,0,1,1,1,1,14500.0,14500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
829,SQUARE_OF_SILK_CLOTH,1,1,1,0,1,1,0,1,21000.0,21000.0,GENERAL,scripts/zones/Lower_Jeuno/npcs/Amalasanda.lua,1,1,1,0,0
833,CLUMP_OF_MOKO_GRASS,1,4,1,0,4,4,4,1,18.0,22.0,GLOBAL_SHOP_STOCK|NATION,scripts/globals/shop.lua|scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
834,BALL_OF_SARUTA_COTTON,1,1,1,0,1,1,1,1,500.0,500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
835,FLAX_FLOWER,1,3,1,0,3,3,3,1,223.0,275.0,NATION,scripts/zones/Port_Bastok/npcs/Denvihr.lua|scripts/zones/Port_San_dOria/npcs/Albinie.lua|scripts/zones/Port_Windurst/npcs/Uli_Pehkowa.lua,1,1,1,0,0
840,CHOCOBO_FEATHER,1,8,1,0,8,8,3,1,7.0,8.0,GENERAL|GENERAL_FAME|NATION,scripts/zones/Bastok_Mines/npcs/Neigepance.lua|scripts/zones/Kazham/npcs/Mamerie.lua|scripts/zones/Lower_Jeuno/npcs/Rhimonne.lua|scripts/zones/Port_Jeuno/npcs/Challoux.lua|scripts/zones/Rabao/npcs/Generoit.lua|scripts/zones/Southern_San_dOria/npcs/Ferdoulemiont.lua|scripts/zones/Upper_Jeuno/npcs/Mejuone.lua|scripts/zones/Windurst_Woods/npcs/Quesse.lua,1,1,1,0,0
841,YAGUDO_FEATHER,1,1,0,1,0,0,0,0,,,,scripts/globals/shop.lua,0,0,0,0,0
845,BLACK_CHOCOBO_FEATHER,1,3,1,0,3,3,3,1,1115.0,1375.0,NATION,scripts/zones/Bastok_Mines/npcs/Neigepance.lua|scripts/zones/Southern_San_dOria/npcs/Ferdoulemiont.lua|scripts/zones/Windurst_Woods/npcs/Quesse.lua,1,1,1,0,0
852,LIZARD_SKIN,1,1,1,0,1,1,1,1,600.0,600.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
853,RAPTOR_SKIN,1,1,1,0,1,1,1,1,3000.0,3000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
854,COCKATRICE_SKIN,1,1,1,0,1,1,1,1,3000.0,3000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
856,RABBIT_HIDE,1,1,1,0,1,1,1,1,80.0,80.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
857,DHALMEL_HIDE,1,1,1,0,1,1,1,1,2400.0,2400.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
858,WOLF_HIDE,1,1,1,0,1,1,1,1,600.0,600.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
859,RAM_SKIN,1,1,1,0,1,1,1,1,1500.0,1500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
864,HANDFUL_OF_FISH_SCALES,1,1,1,0,1,1,1,1,96.0,96.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
878,KARAKUL_SKIN,1,1,1,0,1,1,1,1,600.0,600.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
880,BONE_CHIP,1,1,1,0,1,1,1,1,150.0,150.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
881,CRAB_SHELL,1,1,1,0,1,1,1,1,2500.0,2500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
884,BLACK_TIGER_FANG,1,1,1,0,1,1,1,1,2000.0,2000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
885,TURTLE_SHELL,1,1,1,0,1,1,1,1,6000.0,6000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
889,BEETLE_SHELL,1,1,1,0,1,1,1,1,500.0,500.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
893,GIANT_FEMUR,1,1,1,0,1,1,1,1,1400.0,1400.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
894,BEETLE_JAW,1,1,1,0,1,1,1,1,1000.0,1000.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
895,RAM_HORN,1,1,1,0,1,1,1,1,1800.0,1800.0,GLOBAL_SHOP_STOCK,scripts/globals/shop.lua,1,1,1,0,0
